City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Mataura,NZ,57.0,overcast clouds,-46.1927,168.8643,Ellie's Villa
1,Searcy,US,66.99,clear sky,35.2506,-91.7363,Holiday Inn Express & Suites Searcy
5,Lebu,CL,57.63,clear sky,-37.6167,-73.65,Hostal Las Lilas
8,Ushuaia,AR,53.6,scattered clouds,-54.8,-68.3,Albatros Hotel
11,Shahjahanpur,IN,79.81,clear sky,27.8833,79.9167,OYO 37782 Hotel Shree Mahakali Palace
12,Mar Del Plata,AR,68.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
15,Puerto Ayora,EC,79.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Bredasdorp,ZA,60.8,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
18,Peniche,PT,62.01,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
19,Mahanoro,MG,75.83,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
20,Poum,NC,79.07,overcast clouds,-20.2333,164.0167,Gîte kajeon
21,Swellendam,ZA,60.8,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
23,Carnarvon,AU,77.0,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
25,Lompoc,US,57.99,overcast clouds,34.6391,-120.4579,Holiday Inn Express Lompoc
30,Guerrero Negro,MX,66.29,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
31,Punta Arenas,CL,53.6,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
33,Port Alfred,ZA,68.77,overcast clouds,-33.5906,26.891,The Halyards Hotel
34,Alice Springs,AU,61.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
36,Busselton,AU,64.99,light rain,-33.65,115.3333,Observatory Guest House
37,Te Anau,NZ,53.65,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
43,Cape Town,ZA,66.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
47,Bluff,NZ,57.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
48,Palmer,US,73.4,few clouds,42.1584,-72.3287,Wedgewood Motel
50,Jamestown,US,73.4,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
51,Kapaa,US,70.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
52,Ribeira Grande,PT,62.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
54,Rikitea,PF,78.75,clear sky,-23.1203,-134.9692,Pension Maro'i
56,East London,ZA,66.2,clear sky,-33.0153,27.9116,Tu Casa
57,Sarishabari,BD,78.82,clear sky,24.7333,89.8333,Miraj Hasan Mehedi
60,Kruisfontein,ZA,61.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
61,Bagar,IN,76.93,clear sky,28.1874,75.5005,"The Piramal Haveli (20th Century; Shekhavati, Rajasthan)"
64,Dale,US,68.0,overcast clouds,38.1689,-86.99,"Motel 6 Dale, IN"
68,Zenzeli,RU,57.99,broken clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
70,Price,US,57.2,clear sky,39.5994,-110.8107,National 9 - Price River Inn
71,Xiaoweizhai,CN,51.98,overcast clouds,26.1903,107.5125,Karst Youth Hostel
72,Nacala,MZ,74.1,moderate rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
74,Isangel,VU,77.18,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
76,Gat,IL,59.0,scattered clouds,31.61,34.7642,OlusHome
78,Sturgis,US,71.6,overcast clouds,41.7992,-85.4192,Best Western Plus Howe Inn
80,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
81,Port Lincoln,AU,58.05,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
86,Kongwa,TZ,64.99,light rain,-6.2,36.4167,Chipsi Feed
89,Sao Filipe,CV,77.0,clear sky,14.8961,-24.4956,Tortuga B&B
90,Hami,CN,56.91,broken clouds,42.8,93.45,Laoyutang Resort
91,Pacific Grove,US,55.4,broken clouds,36.6177,-121.9166,Lovers Point Inn
93,Tuatapere,NZ,57.0,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
94,Padang,ID,77.0,scattered clouds,-0.9492,100.3543,Mercure Padang
95,Hermanus,ZA,61.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
99,Tezu,IN,68.88,moderate rain,27.9167,96.1667,Circuit House
104,Xai-Xai,MZ,72.18,clear sky,-25.0519,33.6442,Complexo da Familia
105,Mount Gambier,AU,50.0,scattered clouds,-37.8333,140.7667,Commodore on the Park
107,Dingle,PH,75.54,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
110,Airai,TL,57.58,scattered clouds,-8.9266,125.4092,Juvinal Martin
111,Angoche,MZ,76.17,light rain,-16.2325,39.9086,Guest House HESADA
112,Makakilo City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
114,Saint-Gaudens,FR,60.8,few clouds,43.0833,0.6667,L'Ardiégeoise
118,Hilo,US,71.6,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
120,Laguna,US,64.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
122,Constitucion,CL,63.41,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
123,Chuy,UY,67.64,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Katsuura,JP,50.0,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
128,Wuhu,CN,57.2,light rain,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
130,Moron,AR,70.0,light rain,-34.6534,-58.6198,Hotel Morón
131,Mackay,AU,71.6,few clouds,-21.15,149.2,International Lodge Motel
133,Ixtapa,MX,78.8,clear sky,20.7,-105.2,Hotel Plaza Providencia
134,Fortuna,US,55.99,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
136,Hamilton,US,64.0,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
138,Ahipara,NZ,62.96,few clouds,-35.1667,173.1667,Ahipara Holiday Park
139,Tura,IN,73.49,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
140,Taltal,CL,68.31,overcast clouds,-25.4,-70.4833,Residencial Karime
142,Broken Hill,AU,51.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
143,Port Elizabeth,ZA,62.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
144,Ancud,CL,57.99,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
146,Cobourg,DE,50.0,overcast clouds,50.2667,10.9667,Vienna House Easy Coburg
147,Morgan City,US,73.4,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
157,Perth Amboy,US,68.0,broken clouds,40.5068,-74.2654,Hampton Inn Woodbridge
159,Ambulu,ID,76.33,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
161,Ponta Do Sol,PT,64.99,broken clouds,32.6667,-17.1,Hotel do Campo
162,Anderson,US,68.0,light rain,34.5334,-82.6499,The Bleckley Inn
163,Vaini,TO,68.0,few clouds,-21.2,-175.2,Keleti Beach Resort
164,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,Biak,ID,76.62,overcast clouds,-0.9131,122.8766,Penginapan Kim
169,Esperance,AU,57.2,broken clouds,-33.8667,121.9,Hospitality Esperance
170,Soyo,AO,79.36,overcast clouds,-6.1349,12.3689,Hotel Mpampa
172,Ihosy,MG,69.12,broken clouds,-22.4,46.1167,Tamana Hôtel
173,Kavieng,PG,78.51,light rain,-2.5744,150.7967,Nusa Island Retreat
178,Namibe,AO,79.32,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
183,Ammon,US,57.0,clear sky,43.4696,-111.9666,Holiday Inn Express & Suites Idaho Falls
184,Kahului,US,71.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
189,Misratah,LY,59.94,overcast clouds,32.3754,15.0925,فندق الماسة
193,Mahajanga,MG,77.0,light rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
195,Castro,BR,78.4,clear sky,-24.7911,-50.0119,CHACARA BAILLY
196,Bandarbeyla,SO,79.93,few clouds,9.4942,50.8122,JABIR HOTEL
199,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Namatanai Hotel
206,Oistins,BB,78.8,volcanic ash,13.0667,-59.5333,Butterfly Beach Hotel
207,Nampula,MZ,73.4,broken clouds,-15.1165,39.2666,BUTIK Hotel
209,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
212,Alugan,PH,78.71,overcast clouds,12.2188,125.4808,JM Lodge
213,Discovery Bay,US,64.99,clear sky,37.9085,-121.6002,Orwood Resort Inc
216,Saint-Francois,FR,57.2,clear sky,46.4154,3.9054,Manoir Du Bonheur
