City_ID,City,Country,Lat,Lng,Description,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,-46.1927,168.8643,overcast clouds,57.0,93,96,5.01
1,Searcy,US,35.2506,-91.7363,clear sky,66.99,52,1,13.8
2,Cap Malheureux,MU,-19.9842,57.6142,overcast clouds,80.01,75,99,5.99
3,Pevek,RU,69.7008,170.3133,broken clouds,-26.01,98,80,2.68
4,Wajid,SO,3.8093,43.2471,overcast clouds,81.34,57,97,9.86
5,Lebu,CL,-37.6167,-73.65,clear sky,57.63,68,5,13.15
6,Ostrovnoy,RU,68.0531,39.5131,overcast clouds,36.14,74,85,32.57
7,Taoudenni,ML,22.6783,-3.9836,clear sky,97.03,9,3,10.69
8,Ushuaia,AR,-54.8,-68.3,scattered clouds,53.6,54,40,12.66
9,Rzhev,RU,56.2624,34.3282,scattered clouds,43.32,63,25,11.88
10,Georgetown,MY,5.4112,100.3354,light rain,80.01,94,40,6.91
11,Shahjahanpur,IN,27.8833,79.9167,clear sky,79.81,9,0,6.31
12,Mar Del Plata,AR,-38.0023,-57.5575,broken clouds,68.0,82,75,17.27
13,Sao Sebastiao,BR,-23.76,-45.4097,clear sky,81.39,59,1,4.74
14,Tiksi,RU,71.6872,128.8694,broken clouds,-18.33,99,69,5.39
15,Puerto Ayora,EC,-0.7393,-90.3518,scattered clouds,79.0,89,28,15.99
16,Bredasdorp,ZA,-34.5322,20.0403,overcast clouds,60.8,88,100,1.14
17,Dikson,RU,73.5069,80.5464,broken clouds,18.88,94,56,13.56
18,Peniche,PT,39.3558,-9.3811,broken clouds,62.01,88,52,7.0
19,Mahanoro,MG,-19.9,48.8,light rain,75.83,85,100,1.86
20,Poum,NC,-20.2333,164.0167,overcast clouds,79.07,85,96,13.82
21,Swellendam,ZA,-34.0226,20.4417,overcast clouds,60.8,88,100,1.14
22,Arraial Do Cabo,BR,-22.9661,-42.0278,clear sky,84.2,51,0,18.41
23,Carnarvon,AU,-24.8667,113.6333,overcast clouds,77.0,88,97,13.8
24,Paamiut,GL,61.994,-49.6678,scattered clouds,34.41,88,38,8.97
25,Lompoc,US,34.6391,-120.4579,overcast clouds,57.99,62,94,16.11
26,Tema,GH,5.667,-0.0166,scattered clouds,84.2,74,40,8.05
27,Torbay,CA,47.6666,-52.7314,snow,33.01,93,90,23.02
28,Tavda,RU,58.0425,65.2726,overcast clouds,40.91,95,100,7.34
29,New Norfolk,AU,-42.7826,147.0587,light rain,43.0,78,98,1.99
30,Guerrero Negro,MX,27.9769,-114.0611,broken clouds,66.29,61,78,14.32
31,Punta Arenas,CL,-53.15,-70.9167,scattered clouds,53.6,58,40,20.71
