City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Joseph,RE,2021-04-06 13:08:47,-21.3667,55.6167,84.2,70,52,11.5
1,Dikson,RU,2021-04-06 13:08:47,73.5069,80.5464,0.36,98,18,6.17
2,Castillejos,PH,2021-04-06 13:08:48,14.9333,120.2,80.6,65,20,5.75
3,Torbay,CA,2021-04-06 13:04:09,47.6666,-52.7314,41.0,100,90,19.57
4,Kegums,LV,2021-04-06 13:08:48,56.7451,24.7244,45.0,42,40,14.97
5,Sola,VU,2021-04-06 13:08:48,-13.8833,167.55,77.0,100,20,15.32
6,Nador,MA,2021-04-06 13:08:49,35.174,-2.9287,71.6,68,0,6.91
7,Ribeira Grande,PT,2021-04-06 13:08:49,38.5167,-28.7,66.2,72,40,18.41
8,Georgetown,MY,2021-04-06 13:08:49,5.4112,100.3354,82.4,83,40,5.75
9,Chicama,PE,2021-04-06 13:03:58,-7.8447,-79.1469,66.2,94,90,9.22
10,Esperance,AU,2021-04-06 13:08:49,-33.8667,121.9,66.2,94,90,5.75
11,Bilibino,RU,2021-04-06 13:08:50,68.0546,166.4372,-19.75,99,83,4.0
12,Yaan,NG,2021-04-06 13:08:50,7.3833,8.5667,103.91,25,9,2.51
13,Dunedin,NZ,2021-04-06 13:07:33,-45.8742,170.5036,55.99,82,35,3.0
14,Cherskiy,RU,2021-04-06 13:08:51,68.75,161.3,-26.55,100,47,3.2
15,Kinchil,MX,2021-04-06 13:08:51,20.9167,-89.95,71.6,68,75,8.05
16,Praya,CV,2021-04-06 13:08:51,14.9215,-23.5087,82.4,44,0,20.71
17,Rikitea,PF,2021-04-06 13:08:51,-23.1203,-134.9692,77.27,73,100,13.8
18,Talcahuano,CL,2021-04-06 13:08:52,-36.7167,-73.1167,57.2,94,90,2.3
19,Busselton,AU,2021-04-06 13:08:52,-33.65,115.3333,65.8,84,80,4.9
20,Manta,EC,2021-04-06 13:08:52,-0.95,-80.7333,73.4,88,40,2.3
21,Lompoc,US,2021-04-06 13:08:53,34.6391,-120.4579,48.2,87,98,5.75
22,Amzacea,RO,2021-04-06 13:08:53,43.95,28.4,62.01,71,20,19.57
23,Klaksvik,FO,2021-04-06 13:08:53,62.2266,-6.589,28.4,69,75,31.07
24,Ushuaia,AR,2021-04-06 13:05:43,-54.8,-68.3,48.2,53,40,12.66
25,Elliot,ZA,2021-04-06 13:08:54,-31.3333,27.85,58.46,84,74,7.87
26,Ambalavao,MG,2021-04-06 13:08:54,-21.8333,46.9333,75.58,53,0,4.65
27,Vao,NC,2021-04-06 13:08:54,-22.6667,167.4833,75.52,71,61,23.73
28,Bluff,NZ,2021-04-06 13:08:55,-46.6,168.3333,54.0,87,99,11.01
29,Saskylakh,RU,2021-04-06 13:08:55,71.9167,114.0833,10.89,86,100,14.43
30,Wentzville,US,2021-04-06 13:08:55,38.8114,-90.8529,63.0,75,1,9.35
31,Tessalit,ML,2021-04-06 13:08:55,20.1986,1.0114,96.24,6,0,8.57
32,Huarmey,PE,2021-04-06 13:08:56,-10.0681,-78.1522,71.73,82,86,6.02
33,Punta Arenas,CL,2021-04-06 13:08:56,-53.15,-70.9167,48.2,76,75,9.22
34,Bambous Virieux,MU,2021-04-06 13:08:56,-20.3428,57.7575,86.0,70,40,8.05
35,San Quintin,MX,2021-04-06 13:08:57,30.4833,-115.95,57.33,86,31,11.27
36,Coquimbo,CL,2021-04-06 13:08:57,-29.9533,-71.3436,62.6,63,0,6.91
37,Fairbanks,US,2021-04-06 13:08:57,64.8378,-147.7164,-5.01,76,1,3.44
38,Mataura,NZ,2021-04-06 13:08:58,-46.1927,168.8643,54.0,87,92,11.01
39,Chokurdakh,RU,2021-04-06 13:08:58,70.6333,147.9167,-26.21,95,59,3.02
